"id";"Titulo";"anoLetivo";"avaliacaoProposta";"coorientador";"dataEstado";"dataProposta";"descricao";"entidade";"estado";"idGrupo";"idtfc";"motivoRecusa";"numeroInscricoes";"orientador";"orientadorProposto";"preponente";"semestre";"tecnologias"
18;Interactive query builder;"2018";;;"2022-10-07";"2022-10-07";"A solução a criar deverâ permitir a um utilizador não conhecedor da linguagem SQL criar relatórios a partir de um base de dados a que lhe seja dado acesso, podendo imprimi-los ou exporta-los para ficheiro externo
O TFC continua trabalho anterior que jâ executa queries elementares com SGBD MS-SQL e MySQL, com exportação em formato MS-Excel e XML
Nesta fase, pretende-se desenvolver interface grâfico, aprofundar construção de queries, permitir impressão e acrescentar o SGBD PostgreSQL";;A Aguardar Atribuição;;DEISI18;;0;p2703;;p2703;0;
19;Geoplacement (controlo de presença electrónico);"2018";;;"2022-10-07";"2022-10-07";"Solução de validação de presença e acesso a espaços controlados utilizando dispositivos de comunicação moveis pessoais. 
Composta por 2 elementos:
1. Marcador físico colocado no local onde se controla presença e acesso (alternativa com emissor Beacon);
2. Aplicação móvel para ler o marcador/emissor e registar leitura em base de dados central, após validar geolocalização.
Nesta fase do trabalho, não é requerido desenvolvimento de BackOffice, mas pode se desenvolvido para como PoC. ";;Atribuido;;DEISI19;;0;p2703;;p2703;0;
20;Plataforma de subscrição de serviços;"2018";;;"2022-10-07";"2022-10-07";"Construção de um ecossistema colaborativo em formato crowdsourcing, destinado a entidades da Economia Social, suportado por uma plataforma de subscrição de serviços, disponibilizados em formato de partilha de tempo  e operados segundo um modelo de funcionamento sem vinculo permanente entre entidades e pessoas participantes.
O presente TFC tem por objecto definir o modelo conceptual para o Ecossistema e a construção de um PoC  para validação do mesmo.";;Atribuido;;DEISI20;;0;p2703;;p2703;0;
21;Sistema de Avaliação de Desempenho em Recursos Humanos (SAD-RH);"2018";;;"2022-10-07";"2022-10-07";"Desenvolver interface de avaliação para SAD-RH, de acordo com critérios e métricas de avaliação definidas pela DRH.
A interface integra com ERP de Gestão de RH para identificação de funcionârios e interacção com histórico de avaliações, mas tem autonomia para validação de preenchimento";5;Atribuido;;DEISI21;;0;p2703;;p2703;0;
22;MyCinemaWorld;"2018";Recusado;;"2022-10-07";"2022-10-07";"Hoje em dia é bastante perceptível a quantidade de pessoas viciadas no mundo cinematogrâfico. 
Proporia-me a realizar uma Plataforma em que o principal objectivo seria cada utilizador manter 1 registo sobre o que foi visualizado e o estado de visualização, assim como teria o objectivo de oferecer uma opinião mais fiel da comunidade sobre o Filme ou Série X ou Y.
Front End - CSS, BootStrap, Java Script e HTML
Back End- PHP
Base de Dados- MySQL


";10;Recusado;1;Aluno22;"NOTA: rejeição com pedido esclarecimento, pode ser submetida novamente
Não esclarece requisitos, não se percebe se é de registo pessoal ou Social Media
É necessârio maior detalhe
Contactar orientador para validação de orientação e ajuda na proposta";0;p4453;p4453;a21502579;0;
23;My Medication - Sistema de dispensação e controlo de medicação;"2018";Aceite;;"2022-10-07";"2022-10-07";"Sistema de dispensação automâtica de medicamentos, para instituições ou idosos. 
- Gestão e monitorização do sistema por parte dos prestadores de cuidados. 
- Consulta e monitorização por parte dos familiares
- Utilização de sistema ubíquo móvel para acompanhamento remoto e alarmística.

Nota: este trabalho transita do semestre anterior com a concordância do professor orientador Pedro Serra.";10;Atribuido;;Aluno23;;0;p5403;p5403;a20086749;0;
24;Content Marketplace platform;"2018";;;"2022-10-07";"2022-10-07";Pretende-se desenvolver uma plataforma de gestão entre jornalistas, redatores e outros produtores de conteúdos (artigos, ebooks, casos de sucesso, datasheets, etc.) e empresas de TI que necessitam de garantir a disponibilização de conteúdos sobre as suas temâticas, produtos ou serviços. Esta plataforma deverâ posteriormente ter funcionalidades como depois de um determinado conteúdo de redes sociais ser aprovado, disseminar diretamente em vârias redes sociais.;11;Indisponivel;;DEISI24;;1;p3113;;p3113;0;
25;Buddy abroad;"2018";;;"2022-10-07";"2022-10-07";"Fusão de Tinder +Uber para Guias Turisticos
Desenvolvimento de plataforma para a criação de novo modelo de guias turísticos. Conceitos: 
1- qualquer um pode ser guia turistico, tal como qualquer um pode conduzir um taxi para a Uber; 
2- fundamental fazer o match entre os desejos de visita de um turista com o perfil adequado de conhecimentos turísticos do guia, tal como o Tinder faz a junção de pessoas com os mesmos gostos";12;Atribuido;;DEISI25;;0;p3113;;p3113;0;
26;Integração RADIUS no contexto do consórcio FCCN / Eduroam;"2018";Aceite;;"2022-10-07";"2022-10-07";"Pretende-se implementar um servidor RADIUS de raiz, baseado em ""FreeRadius"" e com todas as condicionantes abrangidas no consorcio da FCCN. 
A autenticação do referido sistema, deverâ utilizar dados a uma ""MS AD 2012 R2"" e, após o tratamento devido de dados, apresentar estatísticas relevantes para posterior anâlise.";10;Atribuido;;Aluno26;;0;p3025;p3025;a21502840;0;
27;MyCinemaWorld;"2018";Aceite Com Modificações;;"2022-10-07";"2022-10-07";"Plataforma comunitâria com registo pessoal ligado ao mundo cinematogrâfico. O site possuiria um top de séries e filmes baseado no rating de users comuns, assim como uma ""aba"" de recentes.
Cada user poderia por exemplo visualizar informações referentes ao filme, adicionar um estado de visualização, escrever uma review e sugestão, avaliar(0-10), recomendar a outros users ou até mesmo adicionar aos favoritos.
Front End - CSS, BootStrap, Java Script e HTML
Back End- PHP
Base de Dados- MySQL
";10;Atribuido;1;Aluno27;Alteração de orientador para mais ajuste à tecnologia ;0;p5404;p5404;a21502579;0;
28;Plataforma DEISI - Gestão de FUCs;"2018";;;"2022-10-07";"2022-10-07";"Desenvolvimento de uma aplicação Web que suporte a gestão de FUCs (Fichas de Unidade Curricular), desde a sua submissão e validação até à sua publicação nos sites da Universidade e do Departamento e exportação em PDF. O projecto deverâ ser desenvolvido em Spring MVC e integrarâ com o sistema de Single Sign-On da faculdade. Incluirâ obrigatoriamente testes com utilizadores e deployment para um servidor da faculdade.

(Nota: Este TFC jâ estâ em curso)";;Atribuido;;DEISI28;;0;p4997;;p4997;0;
29;Plataforma Web de Suporte a Projectos de Investigação - Parte II;"2018";;;"2022-10-07";"2022-10-07";"Este projecto enquadra-se na vertente de ambientes Web e tem como objectivo auxiliar a completar software para apoiar a gestão de projectos na Universidade Lusófona de Humanidades e Tecnologias.  O projecto é desenvolvido em joomla, em plataforma jâ iniciada (ver http://siti1.ulusofona.pt/~usersiti1/).
Nesta segunda fase, os objectivos principais são: melhorar estatística; interligar com autenticação da ULHT; envio de alertas.

";;Atribuido;;DEISI29;;0;p4036;;p4036;0;
30;Sistema IoT para controlo de acessos;"2018";;;"2022-10-07";"2022-10-07";"Desenvolvimento e prototipagem de uma fechadura electrónica IoT para salas de aula. 
Professores e funcionârios poderão abrir a porta com dupla autenticação, utilizando tecnologia RFID e usando um PIN próprio. Ao mesmo tempo que abrem a porta, é feita a marcação da sua presença numa base de dados. Os alunos poderão também marcar a sua presença através de um leitor RFID situado no interior da sala.";;Atribuido;;DEISI30;;0;p5403;;p5403;0;
31;Mobile Quiz;"2018";;;"2022-10-07";"2022-10-07";Desenvolver uma aplicação para telemóvel (HTML5 ou Híbrida) para mostrar perguntas de escolha múltipla que seria despoletada pelo professor durante a aula. Os alunos poderão responder de forma anónima ou autenticada e o professor poderâ consultar os resultados em tempo-real no seu computador. Além da aplicação para telemóvel (alunos), serâ necessârio desenvolver uma aplicação web para o professor introduzir as perguntas e consultar os resultados.;;Atribuido;;DEISI31;;0;p4997;;p4997;0;
32;Plataforma DEISI - Gestão de turmas;"2018";;;"2022-10-07";"2022-10-07";Desenvolver uma aplicação web para gestão de turmas e horârios, onde os alunos podem pedir a mudança de turma, consultar os horârios das vârias turmas, etc. Esta aplicação serâ integrada na plataforma DEISI (onde reside por exemplo a aplicação de gestão de TFCs). Este TFC deverâ ser desenvolvido em Spring (Java ou Kotlin) e é individual.;;Atribuido;;DEISI32;;0;p4997;;p4997;0;
33;LINE UP;"2018";Aceite Com Modificações;;"2022-10-07";"2022-10-07";"Aplicação com finalidade informativa
Aplicação com 10 editores
Login pode ser efectuado através de email, número de telemóvel ou facebook.
Existencia de 8 opções apos login:
Perfil do utilizador
Calendârio com os eventos marcados
LIVE games (transmissao dos jogos em directo)
Jogadores (""nome"", ""equipa"", ""posição""
Top charts (melhores jogadores da semana)
Estatísticas (vitorias/derrotas/empates/pontos)
Almanaque (aba onde sera possivel realizar leituras de codigos vuforia)
Definições";13;Atribuido;;Empresa33;"acrescentadas disciplinas, orientador e tecnologia.

As indicações apenas são incluidas por obrigatoriedade da plataforma, estão sujeites a revisão
";0;p5502;p5502;emp13;0;
34;Content Marketplace platform - Desenho Processos e Arquitetura;"2018";;;"2022-10-07";"2022-10-07";Pretende-se desenhar e desenvolver os vârios processos e a arquitetura de uma plataforma de gestão entre jornalistas, redatores e outros produtores de conteúdos (artigos, ebooks, casos de sucesso, datasheets, etc.) e empresas de TI que necessitam de garantir a disponibilização de conteúdos sobre as suas temâticas, produtos ou serviços. ;14;Atribuido;;DEISI34;;0;p3113;;p3113;0;
35;Sistema de Alarme por Geofencing;"2018";;;"2022-10-07";"2022-10-07";"Sistema IoT de alarme por geofencing baseado em gps utilizando protocolo MQTT. Desenvolvimento de uma webapp para localizaçao e monitorização dos alarmes.
Desenvolvimento de uma aplicação servidor para manter as areas de controlo (GPSFences), o registo dos equipamentos, e os dados de histórico dos alarmes. Prototipagem de um equipamento (ou aplicação móvel) com GPS e módulo GPRS  para ser instalado no objecto ou pessoa a controlar.";;Atribuido;;DEISI35;;0;p5403;;p5403;0;
36;SmartMedia;"2018";Aceite;;"2022-10-07";"2022-10-07";"O projeto SP Smart Media visa a conceção e desenvolvimento de uma plataforma tecnológica inovadora, a nível mundial, para a gestão integrada de todo o processo de produção de ficção de longa duração da SP Televisão.
Neste âmbito a equipa responsâvel na ULHT propõe a inclusão dos alunos Oleksiy Tavares nº 21803410  e Jorge Adrião nº 21702442 na equipa de desenvolvimento do projecto com a previsão da execução de tarefas que podem constituir a base para os seus respectivos TFC's.

";15;Atribuido;;NDEISI36;;0;p3113;p3113;pnd1;0;
37;Aplicação de Gestão Portfolio Aplicacional;"2018";;;"2022-10-07";"2022-10-07";"O objetivo deste trabalho é desenvolver uma aplicação que permita fazer o registo e controlo das aplicações em utilização, em implementação e planeadas e definir métricas para classificar as mesmas.
Deverâ ser permitido tipificar os perfis de utilizadores e definir as aplicações que cada perfil necessita.
Deverão ser disponibilizados alertas e relatórios agregados pelas métricas implementadas.";;Atribuido;;DEISI37;;0;p2;;p2;0;
38;Protótipo de Gestão de Arquitetura Empresarial, Gestão de Projecto e Gestão de Portfólio Aplicacional.;"2018";;;"2022-10-07";"2022-10-07";Pretende-se com este trabalho desenvolver um protótipo que permita gerir e controlar o Plano de ação resultante de um projeto de Arquitetura Empresarial, Projetos em curso e o Portfólio Aplicacional de uma empresa;;Indisponivel;;DEISI38;;0;p2;;p2;0;
39;Elaboração da Arquitetura Empresarial (Sistemas de Informação) para uma empresa baseada no Framework de Zachman;"2018";;;"2022-10-07";"2022-10-07"; Pretende-se com este trabalho efetuar um projeto de arquitetura empresarial de uma empresa utilizando como referência a Framework de Zachman e utilizando uma ferramenta de modelação de processos, preferencialmente o Powerdesigner 16.0 ou posterior. Deverão ser identificadas âreas de melhoria e ações a desenvolver (Plano de ação).               ;;Atribuido;;DEISI39;;0;p2;;p2;0;
40;Arquitetura Empresarial, Gestão de Projecto e Gestão de Portfólio como estratégia;"2018";;;"2022-10-07";"2022-10-07";Existem muitos exemplos de empresas que obtiveram sucesso ou papel de destaque nos seus segmentos de mercado com a adoção e implementação de uma arquitetura empresarial. Pretende-se com este trabalho desenvolver um protótipo, incluindo definição e representação do processo.;;Indisponivel;;DEISI40;;0;p2;;p2;0;
41;Gestão de portfólio aplicacional (EPM â€“ Enterprise Portfolio Management), Protótipo e Oferta Comercial;"2018";;;"2022-10-07";"2022-10-07";"Hoje em dia é cada vez mais importante nas empresas ter um alinhamento total entre a estratégia e as aplicações de suporte ao negócio. Para tal uma Gestão do portfólio aplicacional eficaz é fundamental para garantir da eficâcia das aplicações empresariais, alinhamento com a estratégia e processos empresariais e proteção ao investimento. 
Pretende-se com este trabalho elaborar um protótipo, e efectuar uma anâlise comparativa da oferta comercial existente no mercado.";;Atribuido;;DEISI41;;0;p2;;p2;0;
42;Liga dos Ãšltimos;"2018";;;"2022-10-07";"2022-10-07";Criação de um website/ mobile que apresenta os resultados classificativos das piores equipas de determinados desportos, por categorias e estatísticas, com base em serviços online.;16;Atribuido;;DEISI42;;0;p3478;;p3478;0;
43;Redes Neuronais Artificiais como auxiliar na terapêutica e acompanhamento clínico de doentes com a lesão aguda renal.;"2018";Aceite;;"2022-10-07";"2022-10-07";Desenvolvimento de um algoritmo com base no conceito de Redes Neuronais Artificiais como auxiliar no diagnóstico e tratamento de doentes com lesão aguda renal, baseando-se num conjunto de dados biomédicos. O modelo permitirâ criar um sistema de diagnóstico, fundamental no que concerne à terapia mais adequada, representando uma vantagem em termos de rapidez nos tratamentos e poupança de recursos técnicos e humanos. A proposta terâ o acompanhamento do Prof. Francesco Costigliola.;10;Atribuido;;NDEISI43;;0;p4855;p4855;pnd2;0;
44;Desenvolvimento de ferramentas de procura de moléculas com acção farmacológica através de técnicas de data mining e machine learning;"2018";Aceite;;"2022-10-07";"2022-10-07";Actualmente, a procura de novos fârmacos tem merecido bastante interesse por parte dos grupos de investigação na ârea da biomedicina. O projecto que terâ o acompanhamento do Professor Francesco Costigliola, visa desenvolver um sistema de anâlise, classificação e associação de moléculas com possível acção terapêutica, tendo por base dados experimentais obtidos por espectroscopia de infra-vermelho, utilizando-se para o efeito as ferramentas de data mining e machine learning mais adequados.;10;Indisponivel;;NDEISI44;;0;p4855;p4855;pnd2;0;
45;Carlos Relvas Full 3D. The Stereo Catalogue;"2018";Aceite;;"2022-10-07";"2022-10-07";"Este projecto de investigação procura apoio informâtico (programação e design web) para a criação de um catâlogo digital online de fotografias a partir de uma base de dados. O objectivo é combinar as fotografias estereoscópicas de Carlos Relvas (negativos e positivos) que se encontram dispersas em diferentes colecções públicas e privadas.
Um dos catâlogos online de fotografia antiga a ter em conta é o do fotógrafo W.H. Fox Talbot: https://talbot.bodleian.ox.ac.uk/search";10;Atribuido;;NDEISI45;;0;p5404;p5404;pnd3;0;
46;Compilação, Verificação e Validação contínua de software de Espaço;"2018";;;"2022-10-07";"2022-10-07";"A Agencia Espacial Europeia tem a decorrer um conjunto de missões (e.g. ""Space Rider""), em que a GMV é responsâvel pelo software de bordo.  Todo software executado no espaço é submetido a um processo de ""qualificação"" que consiste num conjunto de normas e testes que garantem o seu funcionamento. Neste TFC é proposto a automatização parcial do processo de qualificação implementando uma rotina, que, por ex., todas as noites, corre um conjunto de testes sobre o software armazenado num repositório.";17;Indisponivel;;DEISI46;;0;p5403;;p5403;0;
47;Sistema de ticketing (pedidos de assistência) para a empresa Rodoviâria de Lisboa;"2018";Aceite;;"2022-10-07";"2022-10-07";Desenvolvimento de uma plataforma para gestão de tickets, relativos a pedidos de suporte da ârea de IT, constituída por uma aplicação móvel e uma aplicação web que comuniquem entre si. Os pedidos criados são reencaminhados para os responsâveis das âreas e um dos elementos da equipa de IT aloca-se ao pedido. Todo o histórico e evolução dos pedidos estariam disponíveis para consulta. Deverâ ter uma componente para gerar relatórios de tipo de pedidos, tempo médio de resposta, entre outros.;21;Atribuido;;Aluno47;;0;p4453;p4453;a21601155;0;
48;OFiOCoN;"2018";Recusado;;"2022-10-07";"2022-10-07";"Aplicação Colaborativa de Produtos Biológicos
";10;Recusado;;Aluno48;"A proposta não descreve adequadamente o TFC. 
Fica o convite para que seja submetida novamente com identificação de âmbito, descrição resumida de trabalho a realizar, resultados esperados e tecnologia a utilizar. ";0;p3478;p3478;a21404687;0;
49;Gestor de dívidas para controlo interno;"2018";Recusado;;"2022-10-07";"2022-10-07";Este protejo tem como objectivo agilizar/automatizar o processo de abate de dividas de cada consultor da empresa.  Com isto a empresa pretende ter uma webapp personalizada/costumizada ,feita de raiz seguindo os requisitos da empresa , onde todo o processo de gestão é controlado na mesma.  A recolha de dados da situação financeira é feita através do acesso a uma base dados. Para validar qualquer alteração nos valores em divida deverâ ser feito upload dos devidos comprovativos.;22;Recusado;10;Aluno49;a substituir por proposta de empresa;0;p4453;p4453;a21700075;0;
50;Gestão de Plataforma de Field Service - Módulo I;"2018";;;"2022-10-07";"2022-10-07";Reformulação de plataforma de gestão de entregas e serviços.;14;Atribuido;;DEISI50;;0;p3113;;p3113;0;
51;Gestão de Plataforma de Field Service - Módulo II;"2018";;;"2022-10-07";"2022-10-07";Desenvolvimento de plataforma mobile de plataforma de gestão de serviços;14;Atribuido;;DEISI51;;0;p3113;;p3113;0;
57;Algoritmos genéticos aplicados aos video jogos.;"2018";Aceite;;"2022-10-07";"2022-10-07";" Com este TFC pretendemos pegar num jogo tower defence estilo ""Plants vs Zombies"" e aplicar um algoritmo genético com o objectivo de desenvolver uma Inteligência artificial e ver até onde a inteligência desse algoritmo pode chegar. Para atingirmos esse objectivo a ideia é ter dois ambientes de jogo , um para o utilizador e outro para a maquina, em que os inputs do utilizador serão guardados e tratados pelo algoritmo genético para posteriormente fornecer a informação à  maquina.";10;Atribuido;14;Aluno57;;0;p5354;p5354;a21700924;0;
59;Simulador de Comparador de Cursos;"2018";Recusado;;"2022-10-07";"2022-10-07";Pretende-se criar um programa que compare (através das disciplinas, médias, número de cadeiras pràticas vs. cadeiras teóricas, etc.) cursos dentro de uma Universidade e que devolva uma lista de cursos consoante as preferências dos utilizadores. Destinado a futuros candidatos à  Universidade. ;10;Recusado;17;Aluno59;O preponente do tema jâ tem trabalho atribuido;0;p2703;p2703;a21507835;0;
60;Gestão de Condomínios e Anâlise de Tarefas;"2018";Recusado;;"2022-10-07";"2022-10-07";"Pretende-se criar uma plataforma de gestão de condomínios, incluindo estatutos dos condóminos.
Gerar actas e recibos pagamento.
Analise de actas, de obras, gestão de conta bancâria, conteúdos da legislação patente nos condomínios e manutenção das âreas envolventes.
Previsão de alterações a longo prazo que englobem os condonimos, obras.
Gestão de litigios, e faltas de pagamento, apoio júridico.


";10;Recusado;17;Aluno60;Grupo jâ tem trabalho atribuído (DEISI41 - Gestão de portfólio aplicacional );0;p2703;p2703;a21507835;0;
61;Sistema de ranking de Professores e Cadeiras;"2018";Recusado;;"2022-10-07";"2022-10-07";Pretende-se com este TFC criar um programa que compare (através das universidades, cursos, anos e professores) estabelecimentos de ensino e que devolva uma anâlise de professores e cadeiras. Estas avaliações e anâlises são aplicadas ao ME e à própria universidade.;10;Recusado;18;Aluno61;O preponente jâ tem trabalho atribuido;0;p4671;p4671;a21501704;0;
62;Controlo Aéreo;"2018";Recusado;;"2022-10-07";"2022-10-07";A proposta para o nosso TFC consiste na criação de um sistema com Inteligência Artificial que irâ analisar todas as decisões tomadas pelos controladores aéreos num determinado aeroporto. O sistema verificarâ o risco associado a cada decisão e irâ intervir caso seja necessârio. Irâ também ser criada uma DB onde serâ guardada toda a informação dos aviões nesse dado aeroporto. Além disso, serâ criado um radar que mostre o percurso dos aviões consoante as decisões tomadas.;10;Recusado;20;Aluno62;Tema substituido;0;p5265;p5265;a21603256;0;
63;API de Gestão de Associação Desportiva;"2018";Aceite;;"2022-10-07";"2022-10-07";Desenvolvimento de uma API REST (com web tokens) de gestão de uma associação desportiva que visa guardar a assiduidade nos treinos de cada escola associada, pagamentos de cotas (e integração com paypal), marcação de eventos especiais e broadcast de emails para os associados (todos, ou por categoria) com diversas informações.;10;Atribuido;;Aluno63;;0;p5403;p5403;a21604600;0;
64;Loja online;"2018";Recusado;;"2022-10-07";"2022-10-07";Com este trabalho pretendemos criar uma loja online, onde é nos possível a compra e venda de artigos;10;Recusado;21;Aluno64;"Descrição insuficiente, tem que ser reformulado.
Como prazo de proposta de aluno terminou, reformulação terâ que ser submetida por orientador";0;p3478;p3478;a21600697;0;
66;Plataforma DEISI - Gestão de TFCs (II);"2018";;;"2022-10-07";"2022-10-07";"Continuar o trabalho jâ desenvolvido na plataforma de gestão de TFCs para incluir novas funcionalidades: upload dos relatórios e outros artefactos; agendamento das apresentações intermédias e finais; registo das avaliações intermédias e finais; notificações; etc. A aplicação foi desenvolvida em Java usando a framework Spring. O objectivo é integrar as novas funcionalidades jâ no próximo semestre. Este trabalho é para ser desenvolvido por um aluno.";;Atribuido;;DEISI66;;0;p4997;;p4997;0;
67;Route Planner;"2018";Aceite;;"2022-10-07";"2022-10-07";Consiste em criar uma plataforma onde pode-se colocar um ponto de origem e um destino e a plataforma calcula opções de locomoção para o trajeto indicado, podendo ter em conta restrições e/ou preferências dos utilizadores (ex: não quer andar de comboio). A ideia é que a plataforma comunique com uma base de dados (CRUD) por meio de web services para poder obter a informação necessâria acerca dos meios de transporte disponíveis. A ideia jâ foi discutida com o professor Bruno Cipriano que aceitou-a.;10;Atribuido;22;Aluno67;;0;p4453;p4453;a21800835;0;
68;Gestor de devedores interno;"2018";Aceite;;"2022-10-07";"2022-10-07";Este protejo tem como objectivo agilizar/automatizar o processo de abate de dividas de cada consultor da empresa.  Com isto a empresa pretende ter uma webapp personalizada/costumizada ,feita de raiz seguindo os requisitos da empresa , onde todo o processo de gestão é controlado na mesma.  A recolha de dados da situação financeira é feita através do acesso a uma base dados. Para validar qualquer alteração nos valores em divida deverâ ser feito upload dos devidos comprovativos.;30;Atribuido;;Empresa68;;0;p5617;p5617;emp30;0;
69;Spotter;"2018";Recusado;;"2022-10-07";"2022-10-07";"Spotter é uma aplicação que visa gerir uma comunidade de utilizadores e locais de interesse não turísticos/conhecidos. Estes são locais com uma vista, paisagem ou locais relevantes que, fundamentalmente, tenham algum interesse e não representem diretamente negócios, monstrando assim locais alternativos a quem estejas disposto a visita-los normalmente pouco divulgados e apenas conhecidos apenas por locais, sendo assim locais mais ""niche"" e de pouco movimento.";10;Recusado;24;Aluno69;"proposta com erro de forma: submetida por grupo mas só identifica 1 aluno; tema e descrição submetido anteriormente a titulo individual por outro aluno.
Prazo de proposta de aluno terminado, reformulação terâ que ser submetida por orientador
";0;p4453;p4453;a21502583;0;
